,zipcode,Population,White,Black,Asian,Hispanic
10591,31098,3278.0,2043.0,941.0,13.0,311.0
10592,31201,9049.0,2939.0,5928.0,81.0,280.0
10593,31204,29913.0,11201.0,17930.0,114.0,630.0
10594,31206,30595.0,5931.0,23668.0,240.0,869.0
10595,31207,1277.0,978.0,239.0,36.0,0.0
10596,31210,32074.0,21843.0,7732.0,1276.0,990.0
10597,31211,16078.0,6824.0,8803.0,157.0,588.0
10598,31213,0.0,0.0,0.0,0.0,0.0
10599,31216,16655.0,12351.0,3644.0,148.0,1276.0
10600,31217,18762.0,6995.0,11387.0,62.0,126.0
10601,31220,13695.0,8059.0,4700.0,570.0,211.0
10602,31301,5414.0,1920.0,3001.0,0.0,470.0
10603,31302,8777.0,8119.0,465.0,26.0,267.0
10604,31303,2136.0,1425.0,560.0,77.0,15.0
10605,31304,0.0,0.0,0.0,0.0,0.0
10606,31305,7195.0,3980.0,2862.0,48.0,201.0
10607,31307,651.0,521.0,71.0,0.0,59.0
10608,31308,7035.0,6213.0,560.0,36.0,121.0
10609,31309,953.0,916.0,21.0,0.0,32.0
10610,31312,15309.0,13966.0,1116.0,5.0,416.0
10611,31313,41339.0,17510.0,17980.0,1210.0,4792.0
10612,31314,1549.0,1297.0,139.0,19.0,313.0
10613,31315,8376.0,5144.0,2152.0,135.0,1359.0
10614,31316,10179.0,6845.0,2586.0,8.0,673.0
10615,31318,372.0,372.0,0.0,0.0,0.0
10616,31320,9153.0,5608.0,3261.0,82.0,166.0
10617,31321,6082.0,4333.0,1621.0,0.0,309.0
10618,31322,22431.0,14216.0,6026.0,1062.0,1355.0
10619,31323,1573.0,184.0,1389.0,0.0,6.0
10620,31324,21428.0,17514.0,2298.0,486.0,1330.0
10621,31326,20171.0,16416.0,2451.0,400.0,918.0
10622,31327,121.0,0.0,121.0,0.0,0.0
10623,31328,3329.0,3230.0,72.0,0.0,156.0
10624,31329,9406.0,6510.0,2759.0,14.0,65.0
10625,31331,6627.0,4618.0,1700.0,0.0,24.0
10626,31401,20177.0,10548.0,8739.0,401.0,1186.0
10627,31404,31634.0,8995.0,21601.0,499.0,998.0
10628,31405,37016.0,17963.0,17972.0,324.0,2146.0
10629,31406,34607.0,19555.0,12656.0,1048.0,1716.0
10630,31407,8686.0,3922.0,4409.0,72.0,218.0
10631,31408,10170.0,4343.0,5440.0,44.0,1249.0
10632,31409,389.0,300.0,39.0,16.0,49.0
10633,31410,23603.0,20638.0,1077.0,1104.0,691.0
10634,31411,8034.0,7715.0,53.0,142.0,194.0
10635,31415,12172.0,492.0,11475.0,48.0,303.0
10636,31419,54730.0,31696.0,18442.0,1846.0,4938.0
10637,31501,14868.0,6919.0,7418.0,124.0,487.0
10638,31503,21445.0,17389.0,3475.0,237.0,813.0
10639,31510,10143.0,7712.0,1863.0,36.0,845.0
10640,31512,2787.0,2569.0,141.0,0.0,116.0
10641,31513,16456.0,12435.0,3225.0,109.0,1721.0
10642,31516,14585.0,12408.0,1478.0,76.0,635.0
10643,31518,519.0,519.0,0.0,0.0,0.0
10644,31519,3144.0,2627.0,477.0,0.0,199.0
10645,31520,21289.0,8673.0,10810.0,61.0,2185.0
10646,31522,14846.0,13753.0,476.0,229.0,314.0
